	r_spotId	관광지명	area_code	Unnamed: 0	date	avgTemp	highTemp	lowTemp	rainProb	weather	datetime	month	weekday	season
175	20	걸어가는늑대들	8	76	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
176	20	걸어가는늑대들	8	77	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
177	20	걸어가는늑대들	8	78	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
178	20	걸어가는늑대들	8	79	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
179	20	걸어가는늑대들	8	80	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
180	21	검멀레해수욕장	2	18	2023-11-14	12.0	13	11	30	4	2023-11-14	November	1	fall
181	21	검멀레해수욕장	2	19	2023-11-15	12.625	15	11	20	4	2023-11-15	November	2	fall
182	21	검멀레해수욕장	2	20	2023-11-16	13.291666666666666	17	10	72	4	2023-11-16	November	3	fall
183	21	검멀레해수욕장	2	21	2023-11-17	11.083333333333334	12	10	60	4	2023-11-17	November	4	fall
184	21	검멀레해수욕장	2	22	2023-11-18	10.5	14	7	40	1	2023-11-18	November	5	fall
185	21	검멀레해수욕장	2	23	2023-11-19	13.0	18	8	20	1	2023-11-19	November	6	fall
186	21	검멀레해수욕장	2	24	2023-11-20	12.5	16	9	10	1	2023-11-20	November	0	fall
187	21	검멀레해수욕장	2	25	2023-11-22	14.0	18	10	20	1	2023-11-22	November	2	fall
188	21	검멀레해수욕장	2	26	2023-11-23	13.0	16	10	40	4	2023-11-23	November	3	fall
189	22	고근산	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
190	22	고근산	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
191	22	고근산	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
192	22	고근산	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
193	22	고근산	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
194	22	고근산	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
195	22	고근산	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
196	22	고근산	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
197	22	고근산	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
198	23	고내포구	7	63	2023-11-14	11.76923076923077	13	10	30	4	2023-11-14	November	1	fall
199	23	고내포구	7	64	2023-11-15	11.791666666666666	15	9	30	4	2023-11-15	November	2	fall
200	23	고내포구	7	65	2023-11-16	12.5	17	10	73	4	2023-11-16	November	3	fall
201	23	고내포구	7	66	2023-11-17	10.5	12	10	60	4	2023-11-17	November	4	fall
202	23	고내포구	7	67	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
203	23	고내포구	7	68	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
204	23	고내포구	7	69	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
