title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
김녕해수욕장,6,50.0,2023-11-16,12.166666666666666,17,8,69,4,150.1513
김녕해수욕장,6,50.0,2023-11-23,13.0,16,10,40,4,150.03511
중문색달해변,5,384.0,2023-11-19,15.0,18,12,20,1,149.88028
에코랜드테마파크,8,250.0,2023-11-17,10.833333333333334,12,10,60,4,148.41061
도두동무지개해안도로,11,73.0,2023-11-15,13.125,16,11,20,4,146.49359
제주신화월드,3,335.0,2023-11-23,12.5,15,10,40,4,146.2955
금오름,10,45.0,2023-11-16,12.625,18,9,68,4,146.15627
제주신화월드,3,335.0,2023-11-20,13.5,16,11,10,1,145.69801
광치기해변,2,30.0,2023-11-15,12.625,15,11,20,4,145.44872
김녕해수욕장,6,50.0,2023-11-15,11.541666666666666,15,9,20,4,144.9842
도두동무지개해안도로,11,73.0,2023-11-23,12.5,15,10,40,4,144.81635
표선해수욕장,4,430.0,2023-11-19,13.0,18,8,20,1,144.61688
제주신화월드,3,335.0,2023-11-22,14.0,17,11,20,1,143.91139
도두동무지개해안도로,11,73.0,2023-11-14,12.615384615384617,14,12,30,4,143.45294
하귀애월해안도로,7,434.0,2023-11-16,12.5,17,10,73,4,142.6037
성산포종합여객터미널,2,180.0,2023-11-17,11.083333333333334,12,10,60,4,142.48174
모슬포항,1,101.0,2023-11-18,11.5,14,9,40,1,142.36957
성산포종합여객터미널,2,180.0,2023-11-14,12.0,13,11,30,4,141.93436
월정리해변,6,283.0,2023-11-15,11.541666666666666,15,9,20,4,141.32178
제주신화월드,3,335.0,2023-11-15,12.541666666666666,16,10,30,4,141.09106
성산포종합여객터미널,2,180.0,2023-11-23,13.0,16,10,40,4,140.36916
제주신화월드,3,335.0,2023-11-17,10.75,12,10,60,4,140.06819
제주신화월드,3,335.0,2023-11-14,12.23076923076923,14,11,30,4,139.00299
금능해수욕장,10,42.0,2023-11-18,12.0,14,10,40,1,138.9459
제주신화월드,3,335.0,2023-11-16,13.416666666666666,17,11,64,4,138.54332
월정리해변,6,283.0,2023-11-14,11.23076923076923,13,10,30,4,137.6865
금능해수욕장,10,42.0,2023-11-23,13.5,15,12,40,4,136.21162
사계해수욕장,3,129.0,2023-11-19,15.0,18,12,20,1,134.55879
성산항,2,181.0,2023-11-15,12.625,15,11,20,4,133.90239
빛의벙커,2,126.0,2023-11-15,12.625,15,11,20,4,133.78973
빛의벙커,2,126.0,2023-11-17,11.083333333333334,12,10,60,4,133.70027
빛의벙커,2,126.0,2023-11-14,12.0,13,11,30,4,133.6083
빛의벙커,2,126.0,2023-11-18,10.5,14,7,40,1,132.31253
사계해수욕장,3,129.0,2023-11-18,11.5,14,9,40,1,131.91968
에코랜드테마파크,8,250.0,2023-11-14,12.153846153846152,13,11,30,4,131.90878
도두동무지개해안도로,11,73.0,2023-11-17,10.833333333333334,12,9,60,4,131.76045
한담해안산책로,7,441.0,2023-11-19,15.0,18,12,20,1,131.4893
중문색달해변,5,384.0,2023-11-15,14.25,18,11,30,4,131.04099
빛의벙커,2,126.0,2023-11-23,13.0,16,10,40,4,130.91006
광치기해변,2,30.0,2023-11-23,13.0,16,10,40,4,130.78596
중문색달해변,5,384.0,2023-11-16,15.041666666666666,19,13,66,4,130.1649
도두동무지개해안도로,11,73.0,2023-11-16,13.375,17,11,75,4,129.7991
뽀로로&타요테마파크제주,3,127.0,2023-11-18,11.5,14,9,40,1,129.47655
한담해안산책로,7,441.0,2023-11-18,11.5,14,9,40,1,128.84496
뽀로로&타요테마파크제주,3,127.0,2023-11-17,10.75,12,10,60,4,128.49872
금능해수욕장,10,42.0,2023-11-14,12.153846153846152,13,11,30,4,128.40662
비밀의숲,6,121.0,2023-11-19,13.0,18,8,20,1,128.21059
광치기해변,2,30.0,2023-11-16,13.291666666666666,17,10,72,4,128.20158
뽀로로&타요테마파크제주,3,127.0,2023-11-14,12.23076923076923,14,11,30,4,128.0907
제주절물자연휴양림,11,359.0,2023-11-19,15.0,18,12,20,1,128.00406
산방산,3,135.0,2023-11-18,11.5,14,9,40,1,127.8473
표선해수욕장,4,430.0,2023-11-22,14.0,18,10,20,1,127.36658
광치기해변,2,30.0,2023-11-17,11.083333333333334,12,10,60,4,127.11897
뽀로로&타요테마파크제주,3,127.0,2023-11-20,13.5,16,11,10,1,127.076775
월정리해변,6,283.0,2023-11-16,12.166666666666666,17,8,69,4,127.05279
뽀로로&타요테마파크제주,3,127.0,2023-11-15,12.541666666666666,16,10,30,4,127.000565
중문색달해변,5,384.0,2023-11-22,14.0,17,11,20,1,126.72061
뽀로로&타요테마파크제주,3,127.0,2023-11-19,15.0,18,12,20,1,125.41791
표선해수욕장,4,430.0,2023-11-20,12.5,16,9,10,1,125.2829
표선해수욕장,4,430.0,2023-11-23,13.0,16,10,40,4,125.032745
빛의벙커,2,126.0,2023-11-19,13.0,18,8,20,1,124.97335
뽀로로&타요테마파크제주,3,127.0,2023-11-23,12.5,15,10,40,4,124.38854
월정리해변,6,283.0,2023-11-17,10.041666666666666,11,9,60,4,124.3069
빛의벙커,2,126.0,2023-11-16,13.291666666666666,17,10,72,4,124.0376
사계해수욕장,3,129.0,2023-11-20,13.5,16,11,10,1,123.84584
금능해수욕장,10,42.0,2023-11-16,12.625,18,9,68,4,123.7623
사계해수욕장,3,129.0,2023-11-22,14.0,17,11,20,1,123.49007
한담해안산책로,7,441.0,2023-11-20,13.5,16,11,10,1,123.26958
한담해안산책로,7,441.0,2023-11-22,14.0,17,11,20,1,122.9138
뽀로로&타요테마파크제주,3,127.0,2023-11-22,14.0,17,11,20,1,122.4683
비밀의숲,6,121.0,2023-11-20,12.5,16,9,10,1,121.840454
김녕해수욕장,6,50.0,2023-11-17,10.041666666666666,11,9,60,4,121.58536
김녕해수욕장,6,50.0,2023-11-14,11.23076923076923,13,10,30,4,121.49337
표선해수욕장,4,430.0,2023-11-18,10.5,14,7,40,1,121.23929
